__assist,__clean_sheet,__goal,__matchday,__game_play_duration,__total_earnings,__matches_info__away_shortname,__matches_info__away_squad,__matches_info__away_score,__matches_info__time_on_pitch,__matches_info__player_status_status,__matches_info__player_status_id,__matches_info__player_status_match_id,__matches_info__period,__matches_info__finished,__matches_info__home_shortname,__matches_info__home_squad,__matches_info__home_score,__matches_info__player_status_in_for_player,__matches_info__player_status_sub_in_timestamp,__matches_info__player_status_sub_in_minutes,__matches_info__player_status_sub_out_minutes,__matches_info__player_status_sub_out_timestamp,__shot_on_target,__attempt_saved,__successful_pass
0,0,0,1,0,0,MCI,1550,3,0,not_present,64400,8396,FullTime,True,WBA,1560,0,,,,,,,,
0,0,0,2,0,0,WBA,1560,0,0,not_present,64400,8415,FullTime,True,WAT,1559,0,,,,,,,,
0,0,0,3,0,0,CHE,1545,3,0,not_present,64400,8405,FullTime,True,WBA,1560,2,,,,,,,,
0,0,0,4,0,0,WBA,1560,1,0,not_present,64400,8434,FullTime,True,STK,1555,0,,,,,,,,
0,0,0,5,0,0,SOU,1554,0,0,not_present,64400,8425,FullTime,True,WBA,1560,0,,,,,,,,
0,0,0,6,0,0,WBA,1560,1,0,not_present,64400,8447,FullTime,True,AVL,1543,0,,,,,,,,
0,0,0,7,0,0,EVE,1547,3,0,not_present,64400,8445,FullTime,True,WBA,1560,2,,,,,,,,
0,0,0,8,0,0,WBA,1560,0,0,not_present,64400,8471,FullTime,True,CRY,1546,2,,,,,,,,
0,0,0,9,0,0,SUN,1556,0,0,not_present,64400,8466,FullTime,True,WBA,1560,1,,,,,,,,
0,0,0,10,0,0,WBA,1560,1,0,not_present,64400,8503,FullTime,True,NOR,1553,0,,,,,,,,
0,0,0,11,0,0,LEI,1548,3,0,not_present,64400,8496,FullTime,True,WBA,1560,2,,,,,,,,
0,0,0,12,0,0,WBA,1560,0,0,not_present,64400,8522,FullTime,True,MUN,1551,2,,,,,,,,
0,0,0,13,0,0,ARS,1542,1,0,not_present,64400,8516,FullTime,True,WBA,1560,2,,,,,,,,
0,0,0,14,0,0,WBA,1560,1,0,not_present,64400,8546,FullTime,True,WHU,1561,1,,,,,,,,
0,0,0,15,0,0,TOT,1558,1,0,not_present,64400,8536,FullTime,True,WBA,1560,1,,,,,,,,
0,0,0,16,0,0,WBA,1560,2,0,not_present,64400,8561,FullTime,True,LIV,1549,2,,,,,,,,
0,0,0,17,0,0,AFC,1544,2,0,not_present,64400,8556,FullTime,True,WBA,1560,1,,,,,,,,
0,0,0,18,0,0,WBA,1560,0,0,not_present,64400,8585,FullTime,True,SWA,1557,1,,,,,,,,
0,0,0,19,0,0,NEW,1552,0,0,not_present,64400,8575,FullTime,True,WBA,1560,1,,,,,,,,
0,0,0,20,0,0,STK,1555,1,0,bench,64400,8335,FullTime,True,WBA,1560,2,,,,,,,,
0,0,0,21,0,0,WBA,1560,2,0,not_present,64400,8341,FullTime,True,CHE,1545,2,,,,,,,,
0,0,0,22,0,0,WBA,1560,0,0,not_present,64400,8353,FullTime,True,SOU,1554,3,,,,,,,,
0,0,0,23,0,0,AVL,1543,0,0,bench,64400,8365,FullTime,True,WBA,1560,0,,,,,,,,
0,0,0,24,0,0,SWA,1557,1,0,not_present,64400,8294,FullTime,True,WBA,1560,1,,,,,,,,
0,0,0,25,0,0,WBA,1560,0,0,bench,64400,8302,FullTime,True,NEW,1552,1,,,,,,,,
0,0,0,26,0,0,WBA,1560,1,0,bench,64400,8312,FullTime,True,EVE,1547,0,,,,,,,,
0,0,0,27,0,0,CRY,1546,2,0,not_present,64400,8325,FullTime,True,WBA,1560,3,,,,,,,,
0,0,0,28,0,0,WBA,1560,2,0,not_present,64400,8370,FullTime,True,LEI,1548,2,,,,,,,,
0,0,0,1,0,0,MCI,1550,3,0,not_present,64401,8396,FullTime,True,WBA,1560,0,,,,,,,,
0,0,0,2,0,0,WBA,1560,0,0,not_present,64401,8415,FullTime,True,WAT,1559,0,,,,,,,,
0,0,0,3,0,0,CHE,1545,3,0,not_present,64401,8405,FullTime,True,WBA,1560,2,,,,,,,,
0,1,0,4,27,49000,WBA,1560,1,27,sub_in,64401,8434,FullTime,True,STK,1555,0,64464,1440861750,63,,,,,
0,0,0,5,0,0,SOU,1554,0,0,not_present,64401,8425,FullTime,True,WBA,1560,0,,,,,,,,
0,0,0,6,0,0,WBA,1560,1,0,not_present,64401,8447,FullTime,True,AVL,1543,0,,,,,,,,
0,0,0,7,0,0,EVE,1547,3,0,not_present,64401,8445,FullTime,True,WBA,1560,2,,,,,,,,
0,0,0,8,0,0,WBA,1560,0,0,bench,64401,8471,FullTime,True,CRY,1546,2,,,,,,,,
0,0,0,9,0,0,SUN,1556,0,0,not_present,64401,8466,FullTime,True,WBA,1560,1,,,,,,,,
0,0,0,10,0,0,WBA,1560,1,0,not_present,64401,8503,FullTime,True,NOR,1553,0,,,,,,,,
0,0,0,11,0,0,LEI,1548,3,0,not_present,64401,8496,FullTime,True,WBA,1560,2,,,,,,,,
0,0,0,12,0,0,WBA,1560,0,0,not_present,64401,8522,FullTime,True,MUN,1551,2,,,,,,,,
0,0,0,13,0,0,ARS,1542,1,0,not_present,64401,8516,FullTime,True,WBA,1560,2,,,,,,,,
